sku,date,day_ahead,lstm_forecast,price,inventory_level
S002_P0010,2024-01-02,1,142.34,33.48,419
S002_P0010,2024-01-03,2,137.98,33.48,419
S002_P0010,2024-01-04,3,138.19,33.48,419
S002_P0010,2024-01-05,4,138.69,33.48,419
S002_P0010,2024-01-06,5,139.0,33.48,419
S002_P0010,2024-01-07,6,139.09,33.48,419
S002_P0010,2024-01-08,7,139.1,33.48,419
S002_P0011,2024-01-02,1,138.17,99.13,156
S002_P0011,2024-01-03,2,139.72,99.13,156
S002_P0011,2024-01-04,3,139.44,99.13,156
S002_P0011,2024-01-05,4,139.23,99.13,156
S002_P0011,2024-01-06,5,139.11,99.13,156
S002_P0011,2024-01-07,6,139.09,99.13,156
S002_P0011,2024-01-08,7,139.09,99.13,156
S002_P0012,2024-01-02,1,138.84,52.5,193
S002_P0012,2024-01-03,2,138.81,52.5,193
S002_P0012,2024-01-04,3,138.96,52.5,193
S002_P0012,2024-01-05,4,139.06,52.5,193
S002_P0012,2024-01-06,5,139.1,52.5,193
S002_P0012,2024-01-07,6,139.1,52.5,193
S002_P0012,2024-01-08,7,139.1,52.5,193
S002_P0013,2024-01-02,1,137.22,67.26,472
S002_P0013,2024-01-03,2,139.94,67.26,472
S002_P0013,2024-01-04,3,139.69,67.26,472
S002_P0013,2024-01-05,4,139.33,67.26,472
S002_P0013,2024-01-06,5,139.13,67.26,472
S002_P0013,2024-01-07,6,139.08,67.26,472
S002_P0013,2024-01-08,7,139.08,67.26,472
S002_P0014,2024-01-02,1,141.87,70.31,342
S002_P0014,2024-01-03,2,137.75,70.31,342
S002_P0014,2024-01-04,3,138.1,70.31,342
S002_P0014,2024-01-05,4,138.68,70.31,342
S002_P0014,2024-01-06,5,139.01,70.31,342
S002_P0014,2024-01-07,6,139.1,70.31,342
S002_P0014,2024-01-08,7,139.11,70.31,342
S002_P0015,2024-01-02,1,141.23,67.54,433
S002_P0015,2024-01-03,2,139.46,67.54,433
S002_P0015,2024-01-04,3,139.06,67.54,433
S002_P0015,2024-01-05,4,139.01,67.54,433
S002_P0015,2024-01-06,5,139.05,67.54,433
S002_P0015,2024-01-07,6,139.08,67.54,433
S002_P0015,2024-01-08,7,139.09,67.54,433
S002_P0016,2024-01-02,1,138.39,41.3,258
S002_P0016,2024-01-03,2,139.47,41.3,258
S002_P0016,2024-01-04,3,139.39,41.3,258
S002_P0016,2024-01-05,4,139.2,41.3,258
S002_P0016,2024-01-06,5,139.1,41.3,258
S002_P0016,2024-01-07,6,139.08,41.3,258
S002_P0016,2024-01-08,7,139.09,41.3,258
S002_P0017,2024-01-02,1,136.14,47.83,236
S002_P0017,2024-01-03,2,139.46,47.83,236
S002_P0017,2024-01-04,3,139.51,47.83,236
S002_P0017,2024-01-05,4,139.3,47.83,236
S002_P0017,2024-01-06,5,139.14,47.83,236
S002_P0017,2024-01-07,6,139.09,47.83,236
S002_P0017,2024-01-08,7,139.08,47.83,236
S002_P0018,2024-01-02,1,136.87,32.84,151
S002_P0018,2024-01-03,2,139.7,32.84,151
S002_P0018,2024-01-04,3,139.62,32.84,151
S002_P0018,2024-01-05,4,139.32,32.84,151
S002_P0018,2024-01-06,5,139.13,32.84,151
S002_P0018,2024-01-07,6,139.08,32.84,151
S002_P0018,2024-01-08,7,139.08,32.84,151
S002_P0019,2024-01-02,1,139.22,54.27,409
S002_P0019,2024-01-03,2,137.73,54.27,409
S002_P0019,2024-01-04,3,138.34,54.27,409
S002_P0019,2024-01-05,4,138.85,54.27,409
S002_P0019,2024-01-06,5,139.06,54.27,409
S002_P0019,2024-01-07,6,139.11,54.27,409
S002_P0019,2024-01-08,7,139.1,54.27,409
S002_P0020,2024-01-02,1,139.15,75.94,284
S002_P0020,2024-01-03,2,137.98,75.94,284
S002_P0020,2024-01-04,3,138.53,75.94,284
S002_P0020,2024-01-05,4,138.92,75.94,284
S002_P0020,2024-01-06,5,139.08,75.94,284
S002_P0020,2024-01-07,6,139.11,75.94,284
S002_P0020,2024-01-08,7,139.1,75.94,284
S003_P0001,2024-01-02,1,140.41,52.72,138
S003_P0001,2024-01-03,2,140.07,52.72,138
S003_P0001,2024-01-04,3,139.45,52.72,138
S003_P0001,2024-01-05,4,139.15,52.72,138
S003_P0001,2024-01-06,5,139.07,52.72,138
S003_P0001,2024-01-07,6,139.08,52.72,138
S003_P0001,2024-01-08,7,139.09,52.72,138
S003_P0002,2024-01-02,1,138.4,39.66,388
S003_P0002,2024-01-03,2,137.27,39.66,388
S003_P0002,2024-01-04,3,138.2,39.66,388
S003_P0002,2024-01-05,4,138.84,39.66,388
S003_P0002,2024-01-06,5,139.08,39.66,388
S003_P0002,2024-01-07,6,139.12,39.66,388
S003_P0002,2024-01-08,7,139.11,39.66,388
S003_P0003,2024-01-02,1,136.45,41.99,112
S003_P0003,2024-01-03,2,139.9,41.99,112
S003_P0003,2024-01-04,3,139.73,41.99,112
S003_P0003,2024-01-05,4,139.36,41.99,112
S003_P0003,2024-01-06,5,139.14,41.99,112
S003_P0003,2024-01-07,6,139.08,41.99,112
S003_P0003,2024-01-08,7,139.08,41.99,112
S003_P0004,2024-01-02,1,137.38,72.75,415
S003_P0004,2024-01-03,2,139.52,72.75,415
S003_P0004,2024-01-04,3,139.46,72.75,415
S003_P0004,2024-01-05,4,139.26,72.75,415
S003_P0004,2024-01-06,5,139.13,72.75,415
S003_P0004,2024-01-07,6,139.09,72.75,415
S003_P0004,2024-01-08,7,139.09,72.75,415
S003_P0005,2024-01-02,1,140.99,82.16,411
S003_P0005,2024-01-03,2,138.1,82.16,411
S003_P0005,2024-01-04,3,138.44,82.16,411
S003_P0005,2024-01-05,4,138.82,82.16,411
S003_P0005,2024-01-06,5,139.03,82.16,411
S003_P0005,2024-01-07,6,139.09,82.16,411
S003_P0005,2024-01-08,7,139.1,82.16,411
S003_P0006,2024-01-02,1,140.26,24.39,451
S003_P0006,2024-01-03,2,136.36,24.39,451
S003_P0006,2024-01-04,3,137.51,24.39,451
S003_P0006,2024-01-05,4,138.54,24.39,451
S003_P0006,2024-01-06,5,139.01,24.39,451
S003_P0006,2024-01-07,6,139.12,24.39,451
S003_P0006,2024-01-08,7,139.11,24.39,451
S003_P0007,2024-01-02,1,139.4,54.87,108
S003_P0007,2024-01-03,2,139.76,54.87,108
S003_P0007,2024-01-04,3,139.4,54.87,108
S003_P0007,2024-01-05,4,139.17,54.87,108
S003_P0007,2024-01-06,5,139.09,54.87,108
S003_P0007,2024-01-07,6,139.08,54.87,108
S003_P0007,2024-01-08,7,139.09,54.87,108
S003_P0008,2024-01-02,1,139.2,56.59,103
S003_P0008,2024-01-03,2,140.13,56.59,103
S003_P0008,2024-01-04,3,139.61,56.59,103
S003_P0008,2024-01-05,4,139.24,56.59,103
S003_P0008,2024-01-06,5,139.1,56.59,103
S003_P0008,2024-01-07,6,139.08,56.59,103
S003_P0008,2024-01-08,7,139.09,56.59,103
S003_P0009,2024-01-02,1,137.15,54.64,496
S003_P0009,2024-01-03,2,140.16,54.64,496
S003_P0009,2024-01-04,3,139.8,54.64,496
S003_P0009,2024-01-05,4,139.36,54.64,496
S003_P0009,2024-01-06,5,139.13,54.64,496
S003_P0009,2024-01-07,6,139.08,54.64,496
S003_P0009,2024-01-08,7,139.08,54.64,496
S003_P0010,2024-01-02,1,142.48,80.87,413
S003_P0010,2024-01-03,2,137.17,80.87,413
S003_P0010,2024-01-04,3,137.72,80.87,413
S003_P0010,2024-01-05,4,138.53,80.87,413
S003_P0010,2024-01-06,5,138.97,80.87,413
S003_P0010,2024-01-07,6,139.1,80.87,413
S003_P0010,2024-01-08,7,139.11,80.87,413
S003_P0011,2024-01-02,1,137.32,38.43,137
S003_P0011,2024-01-03,2,138.66,38.43,137
S003_P0011,2024-01-04,3,139.03,38.43,137
S003_P0011,2024-01-05,4,139.13,38.43,137
S003_P0011,2024-01-06,5,139.12,38.43,137
S003_P0011,2024-01-07,6,139.1,38.43,137
S003_P0011,2024-01-08,7,139.09,38.43,137
S003_P0012,2024-01-02,1,139.57,84.56,108
S003_P0012,2024-01-03,2,139.94,84.56,108
S003_P0012,2024-01-04,3,139.46,84.56,108
S003_P0012,2024-01-05,4,139.18,84.56,108
S003_P0012,2024-01-06,5,139.09,84.56,108
S003_P0012,2024-01-07,6,139.08,84.56,108
S003_P0012,2024-01-08,7,139.09,84.56,108
S003_P0013,2024-01-02,1,139.48,13.45,388
S003_P0013,2024-01-03,2,139.43,13.45,388
S003_P0013,2024-01-04,3,139.23,13.45,388
S003_P0013,2024-01-05,4,139.12,13.45,388
S003_P0013,2024-01-06,5,139.09,13.45,388
S003_P0013,2024-01-07,6,139.09,13.45,388
S003_P0013,2024-01-08,7,139.09,13.45,388
S003_P0014,2024-01-02,1,138.7,73.4,230
S003_P0014,2024-01-03,2,139.72,73.4,230
S003_P0014,2024-01-04,3,139.43,73.4,230
S003_P0014,2024-01-05,4,139.2,73.4,230
S003_P0014,2024-01-06,5,139.1,73.4,230
S003_P0014,2024-01-07,6,139.09,73.4,230
S003_P0014,2024-01-08,7,139.09,73.4,230
S003_P0015,2024-01-02,1,139.66,59.8,270
S003_P0015,2024-01-03,2,139.03,59.8,270
S003_P0015,2024-01-04,3,139.04,59.8,270
S003_P0015,2024-01-05,4,139.06,59.8,270
S003_P0015,2024-01-06,5,139.08,59.8,270
S003_P0015,2024-01-07,6,139.09,59.8,270
S003_P0015,2024-01-08,7,139.1,59.8,270
S003_P0016,2024-01-02,1,140.04,55.17,166
S003_P0016,2024-01-03,2,139.59,55.17,166
S003_P0016,2024-01-04,3,139.28,55.17,166
S003_P0016,2024-01-05,4,139.11,55.17,166
S003_P0016,2024-01-06,5,139.08,55.17,166
S003_P0016,2024-01-07,6,139.08,55.17,166
S003_P0016,2024-01-08,7,139.09,55.17,166
S003_P0017,2024-01-02,1,138.52,67.36,239
S003_P0017,2024-01-03,2,140.01,67.36,239
S003_P0017,2024-01-04,3,139.57,67.36,239
S003_P0017,2024-01-05,4,139.25,67.36,239
S003_P0017,2024-01-06,5,139.11,67.36,239
S003_P0017,2024-01-07,6,139.08,67.36,239
S003_P0017,2024-01-08,7,139.09,67.36,239
S003_P0018,2024-01-02,1,141.5,29.45,375
S003_P0018,2024-01-03,2,139.35,29.45,375
S003_P0018,2024-01-04,3,139.0,29.45,375
S003_P0018,2024-01-05,4,138.98,29.45,375
S003_P0018,2024-01-06,5,139.04,29.45,375
S003_P0018,2024-01-07,6,139.08,29.45,375
S003_P0018,2024-01-08,7,139.09,29.45,375
S003_P0019,2024-01-02,1,139.25,62.0,253
S003_P0019,2024-01-03,2,138.29,62.0,253
S003_P0019,2024-01-04,3,138.67,62.0,253
S003_P0019,2024-01-05,4,138.96,62.0,253
S003_P0019,2024-01-06,5,139.08,62.0,253
S003_P0019,2024-01-07,6,139.1,62.0,253
S003_P0019,2024-01-08,7,139.1,62.0,253
S003_P0020,2024-01-02,1,142.73,54.19,417
S003_P0020,2024-01-03,2,138.83,54.19,417
S003_P0020,2024-01-04,3,138.59,54.19,417
S003_P0020,2024-01-05,4,138.81,54.19,417
S003_P0020,2024-01-06,5,139.01,54.19,417
S003_P0020,2024-01-07,6,139.09,54.19,417
S003_P0020,2024-01-08,7,139.1,54.19,417
S004_P0001,2024-01-02,1,143.44,42.34,497
S004_P0001,2024-01-03,2,136.6,42.34,497
S004_P0001,2024-01-04,3,137.29,42.34,497
S004_P0001,2024-01-05,4,138.35,42.34,497
S004_P0001,2024-01-06,5,138.93,42.34,497
S004_P0001,2024-01-07,6,139.1,42.34,497
S004_P0001,2024-01-08,7,139.11,42.34,497
S004_P0002,2024-01-02,1,139.07,30.65,181
S004_P0002,2024-01-03,2,138.23,30.65,181
S004_P0002,2024-01-04,3,138.65,30.65,181
S004_P0002,2024-01-05,4,138.96,30.65,181
S004_P0002,2024-01-06,5,139.08,30.65,181
S004_P0002,2024-01-07,6,139.1,30.65,181
S004_P0002,2024-01-08,7,139.1,30.65,181
S004_P0003,2024-01-02,1,138.41,72.63,419
S004_P0003,2024-01-03,2,140.06,72.63,419
S004_P0003,2024-01-04,3,139.65,72.63,419
S004_P0003,2024-01-05,4,139.27,72.63,419
S004_P0003,2024-01-06,5,139.11,72.63,419
S004_P0003,2024-01-07,6,139.08,72.63,419
S004_P0003,2024-01-08,7,139.09,72.63,419
S004_P0004,2024-01-02,1,137.28,43.53,105
S004_P0004,2024-01-03,2,140.18,43.53,105
S004_P0004,2024-01-04,3,139.75,43.53,105
S004_P0004,2024-01-05,4,139.33,43.53,105
S004_P0004,2024-01-06,5,139.12,43.53,105
S004_P0004,2024-01-07,6,139.08,43.53,105
S004_P0004,2024-01-08,7,139.08,43.53,105
S004_P0005,2024-01-02,1,138.57,77.66,217
S004_P0005,2024-01-03,2,139.33,77.66,217
S004_P0005,2024-01-04,3,139.25,77.66,217
S004_P0005,2024-01-05,4,139.16,77.66,217
S004_P0005,2024-01-06,5,139.11,77.66,217
S004_P0005,2024-01-07,6,139.09,77.66,217
S004_P0005,2024-01-08,7,139.09,77.66,217
S004_P0006,2024-01-02,1,140.47,42.43,364
S004_P0006,2024-01-03,2,138.91,42.43,364
S004_P0006,2024-01-04,3,138.86,42.43,364
S004_P0006,2024-01-05,4,138.97,42.43,364
S004_P0006,2024-01-06,5,139.06,42.43,364
S004_P0006,2024-01-07,6,139.09,42.43,364
S004_P0006,2024-01-08,7,139.1,42.43,364
S004_P0007,2024-01-02,1,138.58,27.45,134
S004_P0007,2024-01-03,2,139.36,27.45,134
S004_P0007,2024-01-04,3,139.3,27.45,134
S004_P0007,2024-01-05,4,139.17,27.45,134
S004_P0007,2024-01-06,5,139.1,27.45,134
S004_P0007,2024-01-07,6,139.09,27.45,134
S004_P0007,2024-01-08,7,139.09,27.45,134
S004_P0008,2024-01-02,1,142.2,80.66,390
S004_P0008,2024-01-03,2,137.63,80.66,390
S004_P0008,2024-01-04,3,138.03,80.66,390
S004_P0008,2024-01-05,4,138.65,80.66,390
S004_P0008,2024-01-06,5,139.0,80.66,390
S004_P0008,2024-01-07,6,139.1,80.66,390
S004_P0008,2024-01-08,7,139.1,80.66,390
S004_P0009,2024-01-02,1,137.36,48.65,115
S004_P0009,2024-01-03,2,139.16,48.65,115
S004_P0009,2024-01-04,3,139.27,48.65,115
S004_P0009,2024-01-05,4,139.2,48.65,115
S004_P0009,2024-01-06,5,139.12,48.65,115
S004_P0009,2024-01-07,6,139.09,48.65,115
S004_P0009,2024-01-08,7,139.09,48.65,115
S004_P0010,2024-01-02,1,138.95,15.35,382
S004_P0010,2024-01-03,2,139.46,15.35,382
S004_P0010,2024-01-04,3,139.32,15.35,382
S004_P0010,2024-01-05,4,139.17,15.35,382
S004_P0010,2024-01-06,5,139.1,15.35,382
S004_P0010,2024-01-07,6,139.09,15.35,382
S004_P0010,2024-01-08,7,139.09,15.35,382
S004_P0011,2024-01-02,1,138.64,88.17,155
S004_P0011,2024-01-03,2,139.35,88.17,155
S004_P0011,2024-01-04,3,139.31,88.17,155
S004_P0011,2024-01-05,4,139.17,88.17,155
S004_P0011,2024-01-06,5,139.1,88.17,155
S004_P0011,2024-01-07,6,139.09,88.17,155
S004_P0011,2024-01-08,7,139.09,88.17,155
S004_P0012,2024-01-02,1,138.1,11.65,85
S004_P0012,2024-01-03,2,139.83,11.65,85
S004_P0012,2024-01-04,3,139.56,11.65,85
S004_P0012,2024-01-05,4,139.26,11.65,85
S004_P0012,2024-01-06,5,139.12,11.65,85
S004_P0012,2024-01-07,6,139.08,11.65,85
S004_P0012,2024-01-08,7,139.08,11.65,85
S004_P0013,2024-01-02,1,137.4,90.89,113
S004_P0013,2024-01-03,2,140.34,90.89,113
S004_P0013,2024-01-04,3,139.87,90.89,113
S004_P0013,2024-01-05,4,139.37,90.89,113
S004_P0013,2024-01-06,5,139.12,90.89,113
S004_P0013,2024-01-07,6,139.07,90.89,113
S004_P0013,2024-01-08,7,139.07,90.89,113
S004_P0014,2024-01-02,1,140.38,53.27,386
S004_P0014,2024-01-03,2,139.11,53.27,386
S004_P0014,2024-01-04,3,138.97,53.27,386
S004_P0014,2024-01-05,4,139.01,53.27,386
S004_P0014,2024-01-06,5,139.07,53.27,386
S004_P0014,2024-01-07,6,139.09,53.27,386
S004_P0014,2024-01-08,7,139.1,53.27,386
S004_P0015,2024-01-02,1,137.95,34.9,56
S004_P0015,2024-01-03,2,140.56,34.9,56
S004_P0015,2024-01-04,3,139.87,34.9,56
S004_P0015,2024-01-05,4,139.35,34.9,56
S004_P0015,2024-01-06,5,139.12,34.9,56
S004_P0015,2024-01-07,6,139.07,34.9,56
S004_P0015,2024-01-08,7,139.08,34.9,56
S004_P0016,2024-01-02,1,139.45,19.12,314
S004_P0016,2024-01-03,2,138.39,19.12,314
S004_P0016,2024-01-04,3,138.68,19.12,314
S004_P0016,2024-01-05,4,138.95,19.12,314
S004_P0016,2024-01-06,5,139.08,19.12,314
S004_P0016,2024-01-07,6,139.1,19.12,314
S004_P0016,2024-01-08,7,139.1,19.12,314
S004_P0017,2024-01-02,1,136.4,20.61,100
S004_P0017,2024-01-03,2,139.67,20.61,100
S004_P0017,2024-01-04,3,139.65,20.61,100
S004_P0017,2024-01-05,4,139.34,20.61,100
