sku,date,day_ahead,arima_forecast,price,inventory_level
S002_P0010,2024-01-04,3,155.22,33.48,419
S002_P0010,2024-01-05,4,154.49,33.48,419
S002_P0010,2024-01-06,5,183.44,33.48,419
S002_P0010,2024-01-07,6,210.11,33.48,419
S002_P0010,2024-01-08,7,177.75,33.48,419
S002_P0011,2024-01-02,1,59.78,99.13,156
S002_P0011,2024-01-03,2,63.34,99.13,156
S002_P0011,2024-01-04,3,74.94,99.13,156
S002_P0011,2024-01-05,4,82.96,99.13,156
S002_P0011,2024-01-06,5,88.85,99.13,156
S002_P0011,2024-01-07,6,68.0,99.13,156
S002_P0011,2024-01-08,7,72.78,99.13,156
S002_P0012,2024-01-02,1,98.31,52.5,193
S002_P0012,2024-01-03,2,108.59,52.5,193
S002_P0012,2024-01-04,3,118.14,52.5,193
S002_P0012,2024-01-05,4,128.67,52.5,193
S002_P0012,2024-01-06,5,139.73,52.5,193
S002_P0012,2024-01-07,6,123.47,52.5,193
S002_P0012,2024-01-08,7,117.35,52.5,193
S002_P0013,2024-01-02,1,130.21,67.26,472
S002_P0013,2024-01-03,2,133.02,67.26,472
S002_P0013,2024-01-04,3,132.16,67.26,472
S002_P0013,2024-01-05,4,123.68,67.26,472
S002_P0013,2024-01-06,5,113.14,67.26,472
S002_P0013,2024-01-07,6,112.05,67.26,472
S002_P0013,2024-01-08,7,123.26,67.26,472
S002_P0014,2024-01-02,1,154.78,70.31,342
S002_P0014,2024-01-03,2,150.36,70.31,342
S002_P0014,2024-01-04,3,157.83,70.31,342
S002_P0014,2024-01-05,4,164.76,70.31,342
S002_P0014,2024-01-06,5,190.05,70.31,342
S002_P0014,2024-01-07,6,188.71,70.31,342
S002_P0014,2024-01-08,7,165.94,70.31,342
S002_P0015,2024-01-02,1,109.87,67.54,433
S002_P0015,2024-01-03,2,95.4,67.54,433
S002_P0015,2024-01-04,3,83.7,67.54,433
S002_P0015,2024-01-05,4,89.31,67.54,433
S002_P0015,2024-01-06,5,100.75,67.54,433
S002_P0015,2024-01-07,6,112.49,67.54,433
S002_P0015,2024-01-08,7,98.22,67.54,433
S002_P0016,2024-01-02,1,137.6,41.3,258
S002_P0016,2024-01-03,2,130.52,41.3,258
S002_P0016,2024-01-04,3,175.23,41.3,258
S002_P0016,2024-01-05,4,163.66,41.3,258
S002_P0016,2024-01-06,5,115.05,41.3,258
S002_P0016,2024-01-07,6,137.61,41.3,258
S002_P0016,2024-01-08,7,140.76,41.3,258
S002_P0017,2024-01-02,1,151.43,47.83,236
S002_P0017,2024-01-03,2,158.86,47.83,236
S002_P0017,2024-01-04,3,123.27,47.83,236
S002_P0017,2024-01-05,4,137.92,47.83,236
S002_P0017,2024-01-06,5,149.05,47.83,236
S002_P0017,2024-01-07,6,116.54,47.83,236
S002_P0017,2024-01-08,7,140.83,47.83,236
S002_P0018,2024-01-02,1,123.92,32.84,151
S002_P0018,2024-01-03,2,142.52,32.84,151
S002_P0018,2024-01-04,3,137.13,32.84,151
S002_P0018,2024-01-05,4,165.89,32.84,151
S002_P0018,2024-01-06,5,117.32,32.84,151
S002_P0018,2024-01-07,6,113.84,32.84,151
S002_P0018,2024-01-08,7,131.63,32.84,151
S002_P0019,2024-01-02,1,194.98,54.27,409
S002_P0019,2024-01-03,2,239.51,54.27,409
S002_P0019,2024-01-04,3,197.04,54.27,409
S002_P0019,2024-01-05,4,190.35,54.27,409
S002_P0019,2024-01-06,5,229.97,54.27,409
S002_P0019,2024-01-07,6,213.35,54.27,409
S002_P0019,2024-01-08,7,211.36,54.27,409
S002_P0020,2024-01-02,1,263.37,75.94,284
S002_P0020,2024-01-03,2,217.84,75.94,284
S002_P0020,2024-01-04,3,209.65,75.94,284
S002_P0020,2024-01-05,4,230.74,75.94,284
S002_P0020,2024-01-06,5,218.8,75.94,284
S002_P0020,2024-01-07,6,227.79,75.94,284
S002_P0020,2024-01-08,7,229.1,75.94,284
S003_P0001,2024-01-02,1,93.65,52.72,138
S003_P0001,2024-01-03,2,107.24,52.72,138
S003_P0001,2024-01-04,3,76.67,52.72,138
S003_P0001,2024-01-05,4,77.25,52.72,138
S003_P0001,2024-01-06,5,81.22,52.72,138
S003_P0001,2024-01-07,6,94.71,52.72,138
S003_P0001,2024-01-08,7,87.09,52.72,138
S003_P0002,2024-01-02,1,248.32,39.66,388
S003_P0002,2024-01-03,2,241.15,39.66,388
S003_P0002,2024-01-04,3,260.46,39.66,388
S003_P0002,2024-01-05,4,242.73,39.66,388
S003_P0002,2024-01-06,5,261.76,39.66,388
S003_P0002,2024-01-07,6,247.38,39.66,388
S003_P0002,2024-01-08,7,250.46,39.66,388
S003_P0003,2024-01-02,1,113.39,41.99,112
S003_P0003,2024-01-03,2,128.17,41.99,112
S003_P0003,2024-01-04,3,114.64,41.99,112
S003_P0003,2024-01-05,4,149.92,41.99,112
S003_P0003,2024-01-06,5,113.37,41.99,112
S003_P0003,2024-01-07,6,95.16,41.99,112
S003_P0003,2024-01-08,7,116.62,41.99,112
S003_P0004,2024-01-02,1,151.66,72.75,415
S003_P0004,2024-01-03,2,175.62,72.75,415
S003_P0004,2024-01-04,3,145.2,72.75,415
S003_P0004,2024-01-05,4,142.87,72.75,415
S003_P0004,2024-01-06,5,142.19,72.75,415
S003_P0004,2024-01-07,6,136.32,72.75,415
S003_P0004,2024-01-08,7,148.36,72.75,415
S003_P0005,2024-01-02,1,175.32,82.16,411
S003_P0005,2024-01-03,2,180.34,82.16,411
S003_P0005,2024-01-04,3,192.39,82.16,411
S003_P0005,2024-01-05,4,213.57,82.16,411
S003_P0005,2024-01-06,5,160.93,82.16,411
S003_P0005,2024-01-07,6,209.43,82.16,411
S003_P0005,2024-01-08,7,188.55,82.16,411
S003_P0006,2024-01-02,1,240.82,24.39,451
S003_P0006,2024-01-03,2,254.91,24.39,451
S003_P0006,2024-01-04,3,246.96,24.39,451
S003_P0006,2024-01-05,4,279.4,24.39,451
S003_P0006,2024-01-06,5,280.78,24.39,451
S003_P0006,2024-01-07,6,282.12,24.39,451
S003_P0006,2024-01-08,7,261.22,24.39,451
S003_P0007,2024-01-02,1,140.02,54.87,108
S003_P0007,2024-01-03,2,132.41,54.87,108
S003_P0007,2024-01-04,3,115.38,54.87,108
S003_P0007,2024-01-05,4,115.5,54.87,108
S003_P0007,2024-01-06,5,112.32,54.87,108
S003_P0007,2024-01-07,6,120.39,54.87,108
S003_P0007,2024-01-08,7,122.5,54.87,108
S003_P0008,2024-01-02,1,106.07,56.59,103
S003_P0008,2024-01-03,2,118.34,56.59,103
S003_P0008,2024-01-04,3,101.97,56.59,103
S003_P0008,2024-01-05,4,89.23,56.59,103
S003_P0008,2024-01-06,5,92.37,56.59,103
S003_P0008,2024-01-07,6,100.17,56.59,103
S003_P0008,2024-01-08,7,101.39,56.59,103
S003_P0009,2024-01-02,1,120.97,54.64,496
S003_P0009,2024-01-03,2,154.36,54.64,496
S003_P0009,2024-01-04,3,143.74,54.64,496
S003_P0009,2024-01-05,4,139.49,54.64,496
S003_P0009,2024-01-06,5,118.5,54.64,496
S003_P0009,2024-01-07,6,103.24,54.64,496
S003_P0009,2024-01-08,7,123.55,54.64,496
S003_P0010,2024-01-02,1,159.37,80.87,413
S003_P0010,2024-01-03,2,188.92,80.87,413
S003_P0010,2024-01-04,3,189.35,80.87,413
S003_P0010,2024-01-05,4,177.08,80.87,413
S003_P0010,2024-01-06,5,214.67,80.87,413
S003_P0010,2024-01-07,6,225.41,80.87,413
S003_P0010,2024-01-08,7,190.62,80.87,413
S003_P0011,2024-01-02,1,142.62,38.43,137
S003_P0011,2024-01-03,2,170.61,38.43,137
S003_P0011,2024-01-04,3,167.2,38.43,137
S003_P0011,2024-01-05,4,162.38,38.43,137
S003_P0011,2024-01-06,5,169.8,38.43,137
S003_P0011,2024-01-07,6,153.0,38.43,137
S003_P0011,2024-01-08,7,160.94,38.43,137
S003_P0012,2024-01-02,1,115.54,84.56,108
S003_P0012,2024-01-03,2,112.84,84.56,108
S003_P0012,2024-01-04,3,95.6,84.56,108
S003_P0012,2024-01-05,4,93.78,84.56,108
S003_P0012,2024-01-06,5,99.61,84.56,108
S003_P0012,2024-01-07,6,103.34,84.56,108
S003_P0012,2024-01-08,7,102.52,84.56,108
S003_P0013,2024-01-02,1,142.21,13.45,388
S003_P0013,2024-01-03,2,108.95,13.45,388
S003_P0013,2024-01-04,3,126.72,13.45,388
S003_P0013,2024-01-05,4,121.92,13.45,388
S003_P0013,2024-01-06,5,117.62,13.45,388
S003_P0013,2024-01-07,6,125.74,13.45,388
S003_P0013,2024-01-08,7,123.53,13.45,388
S003_P0014,2024-01-02,1,137.18,73.4,230
S003_P0014,2024-01-03,2,143.47,73.4,230
S003_P0014,2024-01-04,3,123.36,73.4,230
S003_P0014,2024-01-05,4,114.02,73.4,230
S003_P0014,2024-01-06,5,121.61,73.4,230
S003_P0014,2024-01-07,6,122.71,73.4,230
S003_P0014,2024-01-08,7,126.39,73.4,230
S003_P0015,2024-01-02,1,157.85,59.8,270
S003_P0015,2024-01-03,2,169.24,59.8,270
S003_P0015,2024-01-04,3,175.97,59.8,270
S003_P0015,2024-01-05,4,157.37,59.8,270
S003_P0015,2024-01-06,5,148.39,59.8,270
S003_P0015,2024-01-07,6,163.98,59.8,270
S003_P0015,2024-01-08,7,161.91,59.8,270
S003_P0016,2024-01-02,1,135.11,55.17,166
S003_P0016,2024-01-03,2,104.76,55.17,166
S003_P0016,2024-01-04,3,100.1,55.17,166
S003_P0016,2024-01-05,4,124.19,55.17,166
S003_P0016,2024-01-06,5,100.32,55.17,166
S003_P0016,2024-01-07,6,117.72,55.17,166
S003_P0016,2024-01-08,7,114.38,55.17,166
S003_P0017,2024-01-02,1,118.61,67.36,239
S003_P0017,2024-01-03,2,116.55,67.36,239
S003_P0017,2024-01-04,3,94.1,67.36,239
S003_P0017,2024-01-05,4,98.27,67.36,239
S003_P0017,2024-01-06,5,98.28,67.36,239
S003_P0017,2024-01-07,6,99.78,67.36,239
S003_P0017,2024-01-08,7,103.99,67.36,239
S003_P0018,2024-01-02,1,87.94,29.45,375
S003_P0018,2024-01-03,2,111.72,29.45,375
S003_P0018,2024-01-04,3,115.57,29.45,375
S003_P0018,2024-01-05,4,82.88,29.45,375
S003_P0018,2024-01-06,5,107.41,29.45,375
S003_P0018,2024-01-07,6,118.7,29.45,375
S003_P0018,2024-01-08,7,103.86,29.45,375
S003_P0019,2024-01-02,1,152.38,62.0,253
S003_P0019,2024-01-03,2,181.6,62.0,253
S003_P0019,2024-01-04,3,162.16,62.0,253
S003_P0019,2024-01-05,4,182.98,62.0,253
S003_P0019,2024-01-06,5,174.78,62.0,253
S003_P0019,2024-01-07,6,175.35,62.0,253
S003_P0019,2024-01-08,7,171.39,62.0,253
S003_P0020,2024-01-02,1,82.82,54.19,417
S003_P0020,2024-01-03,2,91.8,54.19,417
S003_P0020,2024-01-04,3,89.44,54.19,417
S003_P0020,2024-01-05,4,74.89,54.19,417
S003_P0020,2024-01-06,5,115.58,54.19,417
S003_P0020,2024-01-07,6,124.36,54.19,417
S003_P0020,2024-01-08,7,95.14,54.19,417
S004_P0001,2024-01-02,1,130.69,42.34,497
S004_P0001,2024-01-03,2,135.11,42.34,497
S004_P0001,2024-01-04,3,168.24,42.34,497
S004_P0001,2024-01-05,4,208.86,42.34,497
S004_P0001,2024-01-06,5,199.31,42.34,497
S004_P0001,2024-01-07,6,222.68,42.34,497
S004_P0001,2024-01-08,7,173.57,42.34,497
S004_P0002,2024-01-02,1,151.48,30.65,181
S004_P0002,2024-01-03,2,156.18,30.65,181
S004_P0002,2024-01-04,3,167.52,30.65,181
S004_P0002,2024-01-05,4,185.38,30.65,181
S004_P0002,2024-01-06,5,172.69,30.65,181
S004_P0002,2024-01-07,6,168.68,30.65,181
S004_P0002,2024-01-08,7,166.96,30.65,181
S004_P0003,2024-01-02,1,153.7,72.63,419
S004_P0003,2024-01-03,2,165.25,72.63,419
S004_P0003,2024-01-04,3,137.5,72.63,419
S004_P0003,2024-01-05,4,115.13,72.63,419
S004_P0003,2024-01-06,5,109.95,72.63,419
S004_P0003,2024-01-07,6,127.44,72.63,419
S004_P0003,2024-01-08,7,138.2,72.63,419
S004_P0004,2024-01-02,1,111.86,43.53,105
S004_P0004,2024-01-03,2,113.09,43.53,105
S004_P0004,2024-01-04,3,109.29,43.53,105
S004_P0004,2024-01-05,4,86.97,43.53,105
S004_P0004,2024-01-06,5,101.65,43.53,105
S004_P0004,2024-01-07,6,89.57,43.53,105
S004_P0004,2024-01-08,7,101.54,43.53,105
S004_P0005,2024-01-02,1,147.82,77.66,217
S004_P0005,2024-01-03,2,131.0,77.66,217
S004_P0005,2024-01-04,3,130.9,77.66,217
S004_P0005,2024-01-05,4,134.16,77.66,217
S004_P0005,2024-01-06,5,131.48,77.66,217
S004_P0005,2024-01-07,6,131.24,77.66,217
S004_P0005,2024-01-08,7,133.81,77.66,217
S004_P0006,2024-01-02,1,194.93,42.43,364
S004_P0006,2024-01-03,2,187.29,42.43,364
S004_P0006,2024-01-04,3,162.57,42.43,364
S004_P0006,2024-01-05,4,143.68,42.43,364
S004_P0006,2024-01-06,5,160.41,42.43,364
S004_P0006,2024-01-07,6,176.87,42.43,364
S004_P0006,2024-01-08,7,172.85,42.43,364
S004_P0007,2024-01-02,1,181.16,27.45,134
S004_P0007,2024-01-03,2,181.84,27.45,134
S004_P0007,2024-01-04,3,162.79,27.45,134
S004_P0007,2024-01-05,4,163.65,27.45,134
S004_P0007,2024-01-06,5,146.56,27.45,134
S004_P0007,2024-01-07,6,158.54,27.45,134
S004_P0007,2024-01-08,7,165.65,27.45,134
S004_P0008,2024-01-02,1,202.33,80.66,390
S004_P0008,2024-01-03,2,172.59,80.66,390
S004_P0008,2024-01-04,3,166.26,80.66,390
S004_P0008,2024-01-05,4,188.14,80.66,390
S004_P0008,2024-01-06,5,194.92,80.66,390
S004_P0008,2024-01-07,6,221.87,80.66,390
S004_P0008,2024-01-08,7,190.13,80.66,390
S004_P0009,2024-01-02,1,129.57,48.65,115
S004_P0009,2024-01-03,2,146.43,48.65,115
S004_P0009,2024-01-04,3,132.2,48.65,115
S004_P0009,2024-01-05,4,134.06,48.65,115
S004_P0009,2024-01-06,5,145.44,48.65,115
S004_P0009,2024-01-07,6,126.21,48.65,115
S004_P0009,2024-01-08,7,135.2,48.65,115
S004_P0010,2024-01-02,1,130.48,15.35,382
S004_P0010,2024-01-03,2,133.36,15.35,382
S004_P0010,2024-01-04,3,140.3,15.35,382
S004_P0010,2024-01-05,4,139.49,15.35,382
S004_P0010,2024-01-06,5,119.94,15.35,382
S004_P0010,2024-01-07,6,131.51,15.35,382
S004_P0010,2024-01-08,7,132.06,15.35,382
S004_P0011,2024-01-02,1,165.07,88.17,155
S004_P0011,2024-01-03,2,189.49,88.17,155
S004_P0011,2024-01-04,3,188.2,88.17,155
S004_P0011,2024-01-05,4,158.86,88.17,155
S004_P0011,2024-01-06,5,140.64,88.17,155
S004_P0011,2024-01-07,6,159.33,88.17,155
S004_P0011,2024-01-08,7,168.19,88.17,155
S004_P0012,2024-01-02,1,113.28,11.65,85
S004_P0012,2024-01-03,2,101.64,11.65,85
S004_P0012,2024-01-04,3,126.86,11.65,85
S004_P0012,2024-01-05,4,131.15,11.65,85
S004_P0012,2024-01-06,5,102.62,11.65,85
S004_P0012,2024-01-07,6,104.68,11.65,85
S004_P0012,2024-01-08,7,109.09,11.65,85
S004_P0013,2024-01-02,1,102.07,90.89,113
S004_P0013,2024-01-03,2,100.77,90.89,113
S004_P0013,2024-01-04,3,91.57,90.89,113
S004_P0013,2024-01-05,4,111.97,90.89,113
S004_P0013,2024-01-06,5,76.8,90.89,113
S004_P0013,2024-01-07,6,81.03,90.89,113
S004_P0013,2024-01-08,7,95.18,90.89,113
S004_P0014,2024-01-02,1,137.56,53.27,386
S004_P0014,2024-01-03,2,137.0,53.27,386
S004_P0014,2024-01-04,3,141.4,53.27,386
S004_P0014,2024-01-05,4,120.16,53.27,386
S004_P0014,2024-01-06,5,136.0,53.27,386
S004_P0014,2024-01-07,6,145.58,53.27,386
S004_P0014,2024-01-08,7,134.88,53.27,386
S004_P0015,2024-01-02,1,71.92,34.9,56
S004_P0015,2024-01-03,2,58.41,34.9,56
S004_P0015,2024-01-04,3,61.13,34.9,56
S004_P0015,2024-01-05,4,57.39,34.9,56
S004_P0015,2024-01-06,5,60.42,34.9,56
S004_P0015,2024-01-07,6,52.67,34.9,56
S004_P0015,2024-01-08,7,59.88,34.9,56
S004_P0016,2024-01-02,1,151.93,19.12,314
S004_P0016,2024-01-03,2,144.08,19.12,314
S004_P0016,2024-01-04,3,160.38,19.12,314
S004_P0016,2024-01-05,4,156.87,19.12,314
S004_P0016,2024-01-06,5,167.65,19.12,314
S004_P0016,2024-01-07,6,161.99,19.12,314
S004_P0016,2024-01-08,7,158.39,19.12,314
S004_P0017,2024-01-02,1,140.36,20.61,100
S004_P0017,2024-01-03,2,155.02,20.61,100
S004_P0017,2024-01-04,3,157.24,20.61,100
S004_P0017,2024-01-05,4,155.69,20.61,100
