date,store id,product id,category,region,inventory level,units sold,units ordered,demand forecast,price,discount,weather condition,holiday/promotion,competitor pricing,seasonality,sku,lag_1,lag_7,lag_14,rolling_mean_3,rolling_mean_7,rolling_std_7,day_of_week,month,inventory_level,holiday_flag,price_change_7d,discount_flag,inventory_ratio
2022-01-26,S001,P0001,0,2,200,49,101,50.62,59.48,5,3,1,55.45,3,S001_P0001,189.0,211.0,104.0,92.33333333333333,164.0,124.57527844640768,2,1,0,0,-0.39287537001122796,1,0.0
2022-01-27,S001,P0001,2,2,410,164,116,180.45,93.34,0,0,0,94.33,3,S001_P0001,49.0,79.0,80.0,82.33333333333333,140.85714285714286,129.34505346994473,3,1,0,0,7.992292870905587,0,0.0
2022-01-28,S001,P0001,2,0,158,97,82,115.96,53.25,20,0,1,49.95,0,S001_P0001,164.0,390.0,177.0,134.0,153.0,126.52931149210713,4,1,0,0,3.064885496183206,1,0.0
2022-01-29,S001,P0001,2,2,154,47,124,48.79,88.06,15,2,1,92.84,0,S001_P0001,97.0,191.0,176.0,103.33333333333333,111.14285714285714,71.60174246350105,5,1,0,0,0.004792332268370725,1,0.0
2022-01-30,S001,P0001,2,3,498,130,63,148.26,68.76,10,2,0,73.29,1,S001_P0001,47.0,79.0,97.0,102.66666666666667,90.57142857142857,65.23766075628699,6,1,0,0,2.035761589403974,1,0.0
2022-01-31,S001,P0001,0,3,410,200,152,212.24,70.78,0,3,1,68.88,2,S001_P0001,130.0,9.0,69.0,91.33333333333333,97.85714285714286,66.56432621013698,0,1,0,0,-0.07730413244687773,0,0.0
2022-02-01,S001,P0001,3,0,419,279,84,297.26,34.49,0,3,0,33.85,2,S001_P0001,200.0,189.0,123.0,125.66666666666667,125.14285714285714,63.127987906655655,1,2,0,0,0.8795640326975476,0,0.0
2022-02-02,S001,P0001,1,2,415,38,149,53.13,52.49,5,0,0,48.25,0,S001_P0001,279.0,49.0,211.0,203.0,138.0,84.01190391843292,2,2,0,0,-0.11751849361129785,1,0.0
2022-02-03,S001,P0001,0,2,345,71,186,84.02,27.71,20,1,1,28.96,3,S001_P0001,38.0,164.0,79.0,172.33333333333334,136.42857142857142,86.0326626788864,3,2,0,0,-0.7031283479751447,1,0.0
2022-02-04,S001,P0001,2,2,121,25,25,37.72,16.84,15,0,0,12.53,0,S001_P0001,71.0,97.0,390.0,129.33333333333334,123.14285714285714,88.21834384342179,4,2,0,0,-0.683755868544601,1,0.0
2022-02-05,S001,P0001,3,2,458,350,182,362.43,51.44,15,2,0,51.54,2,S001_P0001,25.0,47.0,191.0,44.666666666666664,112.85714285714286,95.65812140365394,5,2,0,0,-0.4158528276175335,1,0.0
2022-02-06,S001,P0001,1,1,167,69,92,81.06,68.85,5,0,1,71.82,1,S001_P0001,350.0,130.0,79.0,148.66666666666666,156.14285714285714,124.95789767148051,6,2,0,0,0.0013089005235600304,1,0.0
2022-02-07,S001,P0001,1,2,244,62,105,73.41,11.34,5,1,0,9.63,1,S001_P0001,69.0,200.0,9.0,148.0,147.42857142857142,129.1418562961639,0,2,0,0,-0.8397852500706414,1,0.0
2022-02-08,S001,P0001,4,3,140,12,48,15.6,67.64,10,0,0,69.12,1,S001_P0001,62.0,279.0,189.0,160.33333333333334,127.71428571428571,130.30696359713386,1,2,0,0,0.9611481588866337,1,0.0
2022-02-09,S001,P0001,3,2,209,16,143,22.37,90.55,0,1,0,90.2,0,S001_P0001,12.0,38.0,49.0,47.666666666666664,89.57142857142857,117.04537174796384,2,2,0,0,0.7250904934273195,0,0.0
2022-02-10,S001,P0001,0,2,311,237,102,229.08,89.58,5,1,0,91.4,1,S001_P0001,16.0,71.0,164.0,30.0,86.42857142857143,118.94096174553317,3,2,0,0,2.2327679538072895,1,0.0
2022-02-11,S001,P0001,1,0,216,203,34,198.49,19.93,0,3,0,24.88,0,S001_P0001,237.0,25.0,97.0,88.33333333333333,110.14285714285714,131.26236903168223,4,2,0,0,0.1834916864608076,0,0.0
2022-02-12,S001,P0001,4,2,358,29,54,48.16,64.4,15,3,1,61.19,0,S001_P0001,203.0,350.0,47.0,152.0,135.57142857142858,129.24506069589552,5,2,0,0,0.25194401244167985,1,0.0
2022-02-13,S001,P0001,0,1,229,149,161,143.55,85.19,10,1,0,85.28,1,S001_P0001,29.0,69.0,130.0,156.33333333333334,89.71428571428571,92.09001807238084,6,2,0,0,0.23732752360203357,1,0.0
2022-02-14,S001,P0001,0,1,429,259,156,256.33,97.41,10,2,1,93.97,3,S001_P0001,149.0,62.0,200.0,127.0,101.14285714285714,94.03444151201299,0,2,0,0,7.58994708994709,1,0.0
2022-02-15,S001,P0001,2,1,126,111,32,115.57,51.27,5,2,0,53.8,3,S001_P0001,259.0,12.0,279.0,145.66666666666666,129.28571428571428,108.7025211080134,1,2,0,0,-0.24201655824955648,1,0.0
2022-02-16,S001,P0001,1,3,373,373,91,372.09,65.22,10,1,1,66.25,0,S001_P0001,111.0,16.0,38.0,173.0,143.42857142857142,96.67446602362168,2,2,0,0,-0.27973495306460516,1,0.0
2022-02-17,S001,P0001,2,3,82,31,146,27.62,49.34,5,1,1,51.94,1,S001_P0001,373.0,237.0,71.0,247.66666666666666,194.42857142857142,111.30567092898895,3,2,0,0,-0.4492074123688323,1,0.0
2022-02-18,S001,P0001,1,2,115,27,33,39.79,20.21,15,1,0,18.45,3,S001_P0001,31.0,203.0,25.0,171.66666666666666,165.0,124.6113959475617,4,2,0,0,0.014049172102358343,1,0.0
2022-02-19,S001,P0001,2,1,207,27,200,32.44,75.6,0,2,1,71.3,2,S001_P0001,27.0,29.0,350.0,143.66666666666666,139.85714285714286,133.13079855469027,5,2,0,0,0.17391304347826075,0,0.0
2022-02-20,S001,P0001,4,2,284,166,189,175.44,73.76,10,1,0,70.18,0,S001_P0001,27.0,149.0,69.0,28.333333333333332,139.57142857142858,133.41021592923727,6,2,0,0,-0.13417067730954324,1,0.0
2022-02-21,S001,P0001,0,0,337,337,136,346.41,96.55,10,3,0,100.1,3,S001_P0001,166.0,259.0,62.0,73.33333333333333,142.0,133.76471881628578,0,2,0,0,-0.008828662354994354,1,0.0
2022-02-22,S001,P0001,2,0,467,191,135,194.7,12.81,15,3,1,12.47,1,S001_P0001,337.0,111.0,12.0,176.66666666666666,153.14285714285714,147.6622594204181,1,2,0,0,-0.7501462843768285,1,0.0
2022-02-23,S001,P0001,3,3,152,129,88,134.64,27.67,15,0,0,31.03,1,S001_P0001,191.0,373.0,16.0,231.33333333333334,164.57142857142858,146.95107705498128,2,2,0,0,-0.5757436369211898,1,0.0
2022-02-24,S001,P0001,4,0,277,177,108,169.54,25.72,10,2,1,29.31,3,S001_P0001,129.0,31.0,237.0,219.0,129.71428571428572,114.66285984821513,3,2,0,0,-0.47871909201459273,1,0.0
2022-02-25,S001,P0001,0,1,399,214,188,220.68,10.85,20,0,1,14.28,2,S001_P0001,177.0,27.0,203.0,165.66666666666666,150.57142857142858,106.71747301927199,4,2,0,0,-0.46313706086095996,1,0.0
2022-02-26,S001,P0001,3,1,167,106,55,113.33,52.53,10,2,0,54.21,1,S001_P0001,214.0,27.0,29.0,173.33333333333334,177.28571428571428,93.17495064968604,5,2,0,0,-0.3051587301587301,1,0.0
2022-02-27,S001,P0001,0,1,129,68,165,81.82,34.84,10,1,1,38.22,0,S001_P0001,106.0,166.0,149.0,165.66666666666666,188.57142857142858,74.93743422094894,6,2,0,0,-0.5276572668112798,1,0.0
2022-02-28,S001,P0001,2,2,361,344,103,338.3,89.39,10,2,1,86.89,2,S001_P0001,68.0,337.0,259.0,129.33333333333334,174.57142857142858,87.89170826052012,0,2,0,0,-0.07415846711548413,1,0.0
2022-03-01,S001,P0001,4,1,263,28,113,33.68,15.95,5,2,0,13.91,3,S001_P0001,344.0,191.0,111.0,172.66666666666666,175.57142857142858,90.06082600638516,1,3,0,0,0.2451209992193597,1,0.0
2022-03-02,S001,P0001,3,2,216,93,120,105.56,58.52,15,2,1,58.92,3,S001_P0001,28.0,129.0,373.0,146.66666666666666,152.28571428571428,105.20569421489547,2,3,0,0,1.1149259125406576,1,0.0
2022-03-03,S001,P0001,4,2,304,36,44,31.54,14.01,0,2,1,12.87,0,S001_P0001,93.0,177.0,31.0,155.0,147.14285714285714,107.3909191869104,3,3,0,0,-0.45528771384136857,0,0.0
2022-03-04,S001,P0001,4,2,338,284,43,274.86,33.06,15,2,0,34.47,0,S001_P0001,36.0,214.0,27.0,52.333333333333336,127.0,113.88444435772016,4,3,0,0,2.047004608294931,1,0.0
2022-03-05,S001,P0001,2,0,496,282,167,274.26,27.67,10,3,0,28.65,1,S001_P0001,284.0,106.0,27.0,137.66666666666666,137.0,125.29831070954893,5,3,0,0,-0.47325337902151154,1,0.0
2022-03-06,S001,P0001,1,2,463,192,54,203.71,62.37,10,0,1,64.64,3,S001_P0001,282.0,68.0,166.0,200.66666666666666,162.14285714285714,135.30019533298113,6,3,0,0,0.7901836969001146,1,0.0
2022-03-07,S001,P0001,4,1,380,348,80,360.31,98.99,5,1,0,97.93,0,S001_P0001,192.0,344.0,337.0,252.66666666666666,179.85714285714286,128.88551582887888,0,3,0,0,0.10739456315024043,1,0.0
2022-03-08,S001,P0001,0,3,394,32,88,36.33,95.9,20,3,1,98.49,3,S001_P0001,348.0,28.0,191.0,274.0,180.42857142857142,129.74058365684596,1,3,0,0,5.012539184952979,1,0.0
2022-03-09,S001,P0001,0,2,339,26,165,29.44,24.92,15,3,0,24.38,0,S001_P0001,32.0,93.0,129.0,190.66666666666666,181.0,128.96381921557173,2,3,0,0,-0.5741626794258373,1,0.0
2022-03-10,S001,P0001,0,0,285,147,184,161.02,24.69,10,2,1,20.0,1,S001_P0001,26.0,36.0,177.0,135.33333333333334,171.42857142857142,138.70214747539316,3,3,0,0,0.7623126338329766,1,0.0
2022-03-11,S001,P0001,3,1,348,141,188,155.99,46.7,10,2,1,50.28,2,S001_P0001,147.0,284.0,214.0,68.33333333333333,187.28571428571428,126.44196862027825,4,3,0,0,0.412583182093164,1,0.0
2022-03-12,S001,P0001,1,0,210,194,144,196.14,91.91,5,1,1,90.84,0,S001_P0001,141.0,282.0,106.0,104.66666666666667,166.85714285714286,119.57762969640066,5,3,0,0,2.321647994217564,1,0.0
2022-03-13,S001,P0001,0,1,327,95,141,101.11,87.0,15,3,0,91.43,2,S001_P0001,194.0,192.0,68.0,160.66666666666666,154.28571428571428,109.67028507563671,6,3,0,0,0.39490139490139486,1,0.0
2022-03-14,S001,P0001,1,3,84,74,168,80.12,59.11,10,2,0,58.7,2,S001_P0001,95.0,348.0,344.0,143.33333333333334,140.42857142857142,110.23740614821136,0,3,0,0,-0.40286897666430954,1,0.0
2022-03-15,S001,P0001,2,3,172,78,187,78.64,69.17,20,0,0,70.1,3,S001_P0001,74.0,32.0,28.0,121.0,101.28571428571429,62.603818535598016,1,3,0,0,-0.27872784150156416,1,0.0
2022-03-16,S001,P0001,3,2,252,230,126,243.54,37.52,5,0,0,36.49,0,S001_P0001,78.0,26.0,93.0,82.33333333333333,107.85714285714286,56.20625282958159,2,3,0,0,0.50561797752809,1,0.0
2022-03-17,S001,P0001,3,2,124,89,86,102.55,30.81,15,3,1,30.91,1,S001_P0001,230.0,147.0,36.0,127.33333333333333,137.0,59.48108943185214,3,3,0,0,0.2478736330498177,1,0.0
2022-03-18,S001,P0001,1,1,282,150,41,142.21,47.2,15,2,0,43.88,0,S001_P0001,89.0,141.0,284.0,132.33333333333334,128.71428571428572,61.84850924022412,4,3,0,0,0.010706638115631772,1,0.0
2022-03-19,S001,P0001,0,2,388,285,28,285.57,17.8,20,1,0,20.76,2,S001_P0001,150.0,194.0,282.0,156.33333333333334,130.0,62.23878747747789,5,3,0,0,-0.8063322815798063,1,0.0
2022-03-20,S001,P0001,1,0,83,40,68,47.68,33.07,15,2,1,29.26,2,S001_P0001,285.0,95.0,192.0,174.66666666666666,143.0,83.65404951345747,6,3,0,0,-0.6198850574712644,1,0.0
2022-03-21,S001,P0001,3,1,100,58,160,73.92,75.75,15,3,1,77.25,2,S001_P0001,40.0,74.0,348.0,158.33333333333334,135.14285714285714,91.15998495580641,0,3,0,0,0.28150905092200973,1,0.0
2022-03-22,S001,P0001,1,1,163,114,83,121.45,69.56,5,2,1,67.3,0,S001_P0001,58.0,78.0,32.0,127.66666666666667,132.85714285714286,93.1279202162784,1,3,0,0,0.005638282492409941,1,0.0
2022-03-23,S001,P0001,1,2,82,21,124,15.89,86.7,0,3,1,87.39,3,S001_P0001,114.0,230.0,26.0,70.66666666666667,138.0,90.55201083723463,2,3,0,0,1.3107675906183367,0,0.0
2022-03-24,S001,P0001,0,1,279,35,84,42.16,12.46,5,0,0,15.25,2,S001_P0001,21.0,89.0,147.0,64.33333333333333,108.14285714285714,89.61292423794784,3,3,0,0,-0.5955858487504057,1,0.0
2022-03-25,S001,P0001,1,2,441,31,137,41.5,45.18,0,1,0,40.48,0,S001_P0001,35.0,150.0,141.0,56.666666666666664,100.42857142857143,93.76363392925337,4,3,0,0,-0.042796610169491545,0,0.0
2022-03-26,S001,P0001,3,2,81,4,128,22.91,81.93,20,2,1,84.51,2,S001_P0001,31.0,285.0,194.0,29.0,83.42857142857143,94.06532684409116,5,3,0,0,3.6028089887640453,1,0.0
2022-03-27,S001,P0001,4,2,324,289,95,279.09,78.21,10,2,0,81.17,0,S001_P0001,4.0,40.0,95.0,23.333333333333332,43.285714285714285,35.325695490743556,6,3,0,0,1.3649833686120347,1,0.0
2022-03-28,S001,P0001,3,3,393,49,57,61.96,68.54,0,1,0,65.85,2,S001_P0001,289.0,58.0,74.0,108.0,78.85714285714286,99.1588432288123,0,3,0,0,-0.09518151815181508,0,0.0
2022-03-29,S001,P0001,1,3,110,3,65,-1.27,65.91,5,1,0,63.5,3,S001_P0001,49.0,114.0,78.0,114.0,77.57142857142857,99.53200011865043,1,3,0,0,-0.05247268545140893,1,0.0
2022-03-30,S001,P0001,3,2,339,136,191,154.62,32.07,0,2,0,35.44,0,S001_P0001,3.0,21.0,230.0,113.66666666666667,61.714285714285715,101.58201003083539,2,3,0,0,-0.6301038062283737,0,0.0
2022-03-31,S001,P0001,0,2,358,85,151,91.85,63.02,0,3,0,61.79,0,S001_P0001,136.0,35.0,89.0,62.666666666666664,78.14285714285714,103.18660858113408,3,3,0,0,4.057784911717496,0,0.0
2022-04-01,S001,P0001,2,3,215,101,65,102.74,44.62,0,0,1,43.36,2,S001_P0001,85.0,31.0,150.0,74.66666666666667,85.28571428571429,101.41780626976414,4,4,0,0,-0.012394864984506482,0,0.0
2022-04-02,S001,P0001,2,0,200,70,54,74.21,81.11,15,3,1,85.3,3,S001_P0001,101.0,4.0,285.0,107.33333333333333,95.28571428571429,98.58450568879852,5,4,0,0,-0.010008543878921139,1,0.0
2022-04-03,S001,P0001,4,2,208,32,142,42.34,51.04,15,2,0,51.16,2,S001_P0001,70.0,289.0,40.0,85.33333333333333,104.71428571428571,91.28474550495689,6,4,0,0,-0.3473980309423347,1,0.0
2022-04-04,S001,P0001,2,1,70,54,197,60.25,70.04,10,3,1,74.56,2,S001_P0001,32.0,49.0,58.0,67.66666666666667,68.0,44.51217062032937,0,4,0,0,0.02188503063904279,1,0.0
2022-04-05,S001,P0001,3,0,309,165,105,176.64,90.24,10,2,0,94.06,3,S001_P0001,54.0,3.0,114.0,52.0,68.71428571428571,44.195453332193296,1,4,0,0,0.36913973600364125,1,0.0
2022-04-06,S001,P0001,3,3,322,158,29,174.98,23.65,10,1,0,20.38,1,S001_P0001,165.0,136.0,21.0,83.66666666666667,91.85714285714286,46.40915344853327,2,4,0,0,-0.26255067040848146,1,0.0
2022-04-07,S001,P0001,2,2,84,26,134,30.94,67.82,0,2,1,62.89,3,S001_P0001,158.0,85.0,35.0,125.66666666666667,95.0,50.464508980734664,3,4,0,0,0.07616629641383676,0,0.0
2022-04-08,S001,P0001,2,0,322,130,173,148.95,27.4,15,1,0,24.46,1,S001_P0001,26.0,101.0,31.0,116.33333333333333,86.57142857142857,56.92643540235968,4,4,0,0,-0.3859255939040789,1,0.0
2022-04-09,S001,P0001,3,1,435,121,60,113.81,69.13,15,0,1,65.28,1,S001_P0001,130.0,70.0,4.0,104.66666666666667,90.71428571428571,59.16281006880993,5,4,0,0,-0.14770065343360872,1,0.0
2022-04-10,S001,P0001,3,0,292,282,200,301.68,96.48,5,3,0,92.65,2,S001_P0001,121.0,32.0,289.0,92.33333333333333,98.0,59.326778664163534,6,4,0,0,0.8902821316614422,1,0.0
2022-04-11,S001,P0001,3,2,376,358,192,367.23,46.43,0,1,1,50.45,1,S001_P0001,282.0,54.0,49.0,177.66666666666666,133.71428571428572,83.35609213031812,0,4,0,0,-0.33709308966304974,0,0.0
2022-04-12,S001,P0001,0,3,381,238,139,237.67,74.25,15,1,0,78.42,2,S001_P0001,358.0,165.0,3.0,253.66666666666666,177.14285714285714,109.87633741533942,1,4,0,0,-0.17719414893617014,1,0.0
2022-04-13,S001,P0001,1,0,433,279,79,293.17,78.35,10,2,1,76.87,0,S001_P0001,238.0,158.0,136.0,292.6666666666667,187.57142857142858,111.97597531443539,2,4,0,0,2.3128964059196617,1,0.0
2022-04-14,S001,P0001,1,2,241,108,126,110.02,83.64,20,3,0,79.51,1,S001_P0001,279.0,26.0,85.0,291.6666666666667,204.85714285714286,115.92012849577156,3,4,0,0,0.23326452373931006,1,0.0
2022-04-15,S001,P0001,4,3,136,32,165,24.81,95.63,10,3,1,90.95,3,S001_P0001,108.0,130.0,101.0,208.33333333333334,216.57142857142858,97.51556652291835,4,4,0,0,2.49014598540146,1,0.0
2022-04-16,S001,P0001,3,0,445,183,43,176.76,74.81,10,0,0,78.85,1,S001_P0001,32.0,121.0,70.0,139.66666666666666,202.57142857142858,117.08665899360913,5,4,0,0,0.08216403876753953,1,0.0
2022-04-17,S001,P0001,4,3,396,365,109,363.52,68.35,5,0,0,71.54,2,S001_P0001,183.0,282.0,32.0,107.66666666666667,211.42857142857142,112.12769081551197,6,4,0,0,-0.29156301824212283,1,0.0
2022-04-18,S001,P0001,3,2,319,47,185,37.98,53.83,20,1,0,50.51,3,S001_P0001,365.0,358.0,54.0,193.33333333333334,223.28571428571428,124.5360915367031,0,4,0,0,0.1593797113934956,1,0.0
2022-04-19,S001,P0001,1,1,60,41,195,38.56,66.6,15,1,1,62.37,3,S001_P0001,47.0,238.0,165.0,198.33333333333334,178.85714285714286,123.94007768733587,1,4,0,0,-0.10303030303030314,1,0.0
2022-04-20,S001,P0001,2,1,164,51,131,46.97,14.9,20,0,1,13.27,2,S001_P0001,41.0,279.0,158.0,151.0,150.71428571428572,130.46674453120772,2,4,0,0,-0.8098276962348436,1,0.0
2022-04-21,S001,P0001,2,1,320,107,27,109.15,84.81,0,1,1,87.15,3,S001_P0001,51.0,108.0,26.0,46.333333333333336,118.14285714285714,121.23589755985167,3,4,0,0,0.013988522238163492,0,0.0
2022-04-22,S001,P0001,3,3,407,405,68,410.98,93.83,15,2,0,97.11,0,S001_P0001,107.0,32.0,130.0,66.33333333333333,118.0,121.25042955250368,4,4,0,0,-0.018822545226393372,1,0.0
2022-04-23,S001,P0001,1,0,291,212,97,208.81,36.5,15,3,1,41.26,1,S001_P0001,405.0,183.0,121.0,187.66666666666666,171.28571428571428,154.54634071556475,5,4,0,0,-0.5120973131934233,1,0.0
2022-04-24,S001,P0001,4,2,81,14,59,33.2,20.46,15,2,1,23.22,3,S001_P0001,212.0,365.0,282.0,241.33333333333334,175.42857142857142,155.2995569245205,6,4,0,0,-0.7006583760058522,1,0.0
2022-04-25,S001,P0001,0,3,52,45,32,48.53,71.32,5,0,1,73.35,1,S001_P0001,14.0,47.0,358.0,210.33333333333334,125.28571428571429,139.77924772740081,0,4,0,0,0.3249117592420583,1,0.0
2022-04-26,S001,P0001,3,2,489,452,98,442.38,29.14,10,0,0,29.25,3,S001_P0001,45.0,41.0,238.0,90.33333333333333,125.0,139.9678534521409,1,4,0,0,-0.5624624624624623,1,0.0
2022-04-27,S001,P0001,1,2,422,288,52,298.22,43.71,15,0,0,44.73,2,S001_P0001,452.0,51.0,279.0,170.33333333333334,183.71428571428572,179.48418155528756,2,4,0,0,1.9335570469798657,1,0.0
2022-04-28,S001,P0001,3,2,348,334,167,329.4,47.06,10,1,1,49.09,0,S001_P0001,288.0,107.0,108.0,261.6666666666667,217.57142857142858,172.4943063242544,3,4,0,0,-0.4451126046456786,1,0.0
2022-04-29,S001,P0001,3,2,319,27,121,31.1,34.81,0,1,1,38.71,3,S001_P0001,334.0,405.0,32.0,358.0,250.0,169.55530071336608,4,4,0,0,-0.6290099115421507,0,0.0
2022-04-30,S001,P0001,4,2,162,149,71,143.4,20.41,20,0,0,23.49,2,S001_P0001,27.0,212.0,183.0,216.33333333333334,196.0,172.13657368496675,5,4,0,0,-0.4408219178082192,1,0.0
2022-05-01,S001,P0001,1,0,125,0,117,-8.04,36.91,10,0,0,37.85,1,S001_P0001,149.0,14.0,365.0,170.0,187.0,172.806249886976,6,5,0,0,0.8040078201368521,1,0.0
2022-05-02,S001,P0001,4,0,193,1,71,-1.99,37.57,0,1,1,37.35,0,S001_P0001,0.0,45.0,47.0,58.666666666666664,185.0,175.2065447788219,0,5,0,0,-0.4732192933258552,0,0.0
2022-05-03,S001,P0001,4,0,231,18,92,32.61,47.42,20,3,1,50.88,3,S001_P0001,1.0,452.0,41.0,50.0,178.71428571428572,181.73397617187075,1,5,0,0,0.6273164035689773,1,0.0
2022-05-04,S001,P0001,2,3,383,127,131,126.03,30.44,20,0,0,25.63,1,S001_P0001,18.0,288.0,51.0,6.333333333333333,116.71428571428571,142.82823517044778,2,5,0,0,-0.30359185541066114,1,0.0
2022-05-05,S001,P0001,4,2,252,49,172,45.42,21.29,20,1,0,23.42,0,S001_P0001,127.0,334.0,107.0,48.666666666666664,93.71428571428571,122.10885073806651,3,5,0,0,-0.5475988100297493,1,0.0
2022-05-06,S001,P0001,3,2,253,26,79,40.4,87.62,10,1,1,89.03,1,S001_P0001,49.0,27.0,405.0,64.66666666666667,53.0,60.72067193304079,4,5,0,0,1.5170927894283253,1,0.0
2022-05-07,S001,P0001,2,0,334,39,150,44.63,65.44,20,3,1,69.95,3,S001_P0001,26.0,149.0,212.0,67.33333333333333,52.857142857142854,60.79317004244384,5,5,0,0,2.2062714355707986,1,0.0
2022-05-08,S001,P0001,0,2,103,6,120,13.1,30.86,5,2,0,35.02,1,S001_P0001,39.0,0.0,14.0,38.0,37.142857142857146,43.57915622339218,6,5,0,0,-0.16391221891086416,1,0.0
2022-05-09,S001,P0001,4,3,195,173,94,184.02,55.13,15,3,0,52.38,3,S001_P0001,6.0,1.0,45.0,23.666666666666668,38.0,42.77849927241446,0,5,0,0,0.4673941974980038,1,0.0
2022-05-10,S001,P0001,4,1,118,19,138,25.79,60.66,15,2,0,55.68,0,S001_P0001,173.0,18.0,452.0,72.66666666666667,62.57142857142857,62.729198790932685,1,5,0,0,0.27920708561788254,1,0.0
2022-05-11,S001,P0001,4,3,185,19,142,16.37,23.93,10,1,1,25.74,0,S001_P0001,19.0,127.0,288.0,66.0,62.714285714285715,62.611804759470594,2,5,0,0,-0.21386333771353483,1,0.0
2022-05-12,S001,P0001,1,0,426,10,25,2.78,94.22,0,3,0,95.15,3,S001_P0001,19.0,49.0,334.0,70.33333333333333,47.285714285714285,57.20347974763477,3,5,0,0,3.4255519023015504,0,0.0
2022-05-13,S001,P0001,3,1,496,357,36,353.82,14.24,5,0,0,12.13,1,S001_P0001,10.0,26.0,27.0,16.0,41.714285714285715,58.88325819142535,4,5,0,0,-0.8374800273910066,1,0.0
2022-05-14,S001,P0001,2,0,470,226,137,224.85,61.31,10,3,0,61.59,0,S001_P0001,357.0,39.0,149.0,128.66666666666666,89.0,131.85218997043611,5,5,0,0,-0.06311124694376524,1,0.0
2022-05-15,S001,P0001,4,2,392,213,189,216.51,39.12,5,2,1,43.33,1,S001_P0001,226.0,6.0,0.0,197.66666666666666,115.71428571428571,138.79446949322133,6,5,0,0,0.2676604018146467,1,0.0
2022-05-16,S001,P0001,3,1,179,121,32,112.72,97.06,15,3,1,97.63,1,S001_P0001,213.0,173.0,1.0,265.3333333333333,145.28571428571428,133.47248690986748,0,5,0,0,0.7605659350625793,1,0.0
2022-05-17,S001,P0001,1,0,264,191,192,201.31,82.48,15,2,0,80.01,1,S001_P0001,121.0,19.0,18.0,186.66666666666666,137.85714285714286,133.11953096300147,1,5,0,0,0.35970985822617885,1,0.0
2022-05-18,S001,P0001,4,2,373,148,22,146.02,22.09,20,2,1,19.85,3,S001_P0001,191.0,19.0,127.0,175.0,162.42857142857142,123.01471069599374,2,5,0,0,-0.07689093188466356,1,0.0
2022-05-19,S001,P0001,0,3,81,17,117,24.29,34.33,10,3,0,32.74,0,S001_P0001,148.0,10.0,49.0,153.33333333333334,180.85714285714286,106.50106192182398,3,5,0,0,-0.6356399915092337,1,0.0
2022-05-20,S001,P0001,3,3,340,75,71,83.43,85.99,15,0,0,90.45,0,S001_P0001,17.0,357.0,26.0,118.66666666666667,181.85714285714286,104.6461156651766,4,5,0,0,5.038623595505618,1,0.0
